"func_name","file","code","cyclomatic_complexity","num_params","num_lines","has_docstring","comment_ratio","nesting_depth","num_returns","label"
"validate_float_in_range","simpletypes.py","def validate_float_in_range(cls, value, min_inclusive, max_inclusive):
    cls.validate_float(value)
    if value < min_inclusive or value > max_inclusive:
        raise ValueError(
            ""value must be in range %s to %s inclusive, got %s""
            % (min_inclusive, max_inclusive, value)
        )","3","4","7","0","0.0","1","0","Okay"
"subset_glyphs","__init__.py","def subset_glyphs(self, s):
    self.metrics = _dict_subset(self.metrics, s.glyphs)
    for g in s.glyphs_emptied:
        self.metrics[g] = (0, 0)
    return True  # Required table","2","2","5","0","0.0","1","1","Good"
"_join","dirfs.py","def _join(self, path):
    if isinstance(path, str):
        if not self.path:
            return path
        if not path:
            return self.path
        return self.fs.sep.join((self.path, self._strip_protocol(path)))
    if isinstance(path, dict):
        return {self._join(_path): value for _path, value in path.items()}
    return [self._join(_path) for _path in path]","7","2","10","0","0.0","2","5","Okay"
"_write_local_header","GifImagePlugin.py","def _write_local_header(
    fp: IO[bytes], im: Image.Image, offset: tuple[int, int], flags: int
) -> None:
    try:
        transparency = im.encoderinfo[""transparency""]
    except KeyError:
        transparency = None

    if ""duration"" in im.encoderinfo:
        duration = int(im.encoderinfo[""duration""] / 10)
    else:
        duration = 0

    disposal = int(im.encoderinfo.get(""disposal"", 0))

    if transparency is not None or duration != 0 or disposal:
        packed_flag = 1 if transparency is not None else 0
        packed_flag |= disposal << 2

        fp.write(
            b""!""
            + o8(249)  # extension intro
            + o8(4)  # length
            + o8(packed_flag)  # packed fields
            + o16(duration)  # duration
            + o8(transparency or 0)  # transparency index
            + o8(0)
        )

    include_color_table = im.encoderinfo.get(""include_color_table"")
    if include_color_table:
        palette_bytes = _get_palette_bytes(im)
        color_table_size = _get_color_table_size(palette_bytes)
        if color_table_size:
            flags = flags | 128  # local color table flag
            flags = flags | color_table_size

    fp.write(
        b"",""
        + o16(offset[0])  # offset
        + o16(offset[1])
        + o16(im.size[0])  # size
        + o16(im.size[1])
        + o8(flags)  # flags
    )
    if include_color_table and color_table_size:
        fp.write(_get_header_palette(palette_bytes))
    fp.write(o8(8))  # bits","12","4","48","0","0.0","2","0","Bad"
"_get_flint","gmpy.py","def _get_flint(sympy_ground_types):
    if sympy_ground_types not in ('auto', 'flint'):
        return None

    try:
        import flint
        # Earlier versions of python-flint may not have __version__.
        from flint import __version__ as _flint_version
    except ImportError:
        if sympy_ground_types == 'flint':
            warn(""SYMPY_GROUND_TYPES was set to flint but python-flint is not ""
                 ""installed. Falling back to other ground types."")
        return None

    if _flint_version_okay(_flint_version):
        return flint
    elif sympy_ground_types == 'auto':
        return None
    else:
        warn(f""Using python-flint {_flint_version} because SYMPY_GROUND_TYPES ""
             f""is set to flint but this version of SymPy is only tested ""
             f""with python-flint versions {_PYTHON_FLINT_VERSION_NEEDED}."")
        return flint","6","1","23","0","0.043","2","5","Okay"
"subset","__init__.py","def subset(self, glyphs, remap=False, useClass0=True):
    """"""Returns ascending list of remaining classes.""""""
    self.classDefs = {g: v for g, v in self.classDefs.items() if g in glyphs}
    # Note: while class 0 has the special meaning of ""not matched"",
    # if no glyph will ever /not match/, we can optimize class 0 out too.
    # Only do this if allowed.
    indices = _uniq_sort(
        (
            [0]
            if ((not useClass0) or any(g not in self.classDefs for g in glyphs))
            else []
        )
        + list(self.classDefs.values())
    )
    if remap:
        self.remap(indices)
    return indices","7","4","17","1","0.176","1","1","Good"
"getctype","capi_maps.py","def getctype(var):
    """"""
    Determines C type
    """"""
    ctype = 'void'
    if isfunction(var):
        if 'result' in var:
            a = var['result']
        else:
            a = var['name']
        if a in var['vars']:
            return getctype(var['vars'][a])
        else:
            errmess(f'getctype: function {a} has no return value?!\n')
    elif issubroutine(var):
        return ctype
    elif ischaracter_or_characterarray(var):
        return 'character'
    elif isstring_or_stringarray(var):
        return 'string'
    elif 'typespec' in var and var['typespec'].lower() in f2cmap_all:
        typespec = var['typespec'].lower()
        f2cmap = f2cmap_all[typespec]
        ctype = f2cmap['']  # default type
        if 'kindselector' in var:
            if '*' in var['kindselector']:
                try:
                    ctype = f2cmap[var['kindselector']['*']]
                except KeyError:
                    errmess('getctype: ""%s %s %s"" not supported.\n' %
                            (var['typespec'], '*', var['kindselector']['*']))
            elif 'kind' in var['kindselector']:
                if typespec + 'kind' in f2cmap_all:
                    f2cmap = f2cmap_all[typespec + 'kind']
                try:
                    ctype = f2cmap[var['kindselector']['kind']]
                except KeyError:
                    if typespec in f2cmap_all:
                        f2cmap = f2cmap_all[typespec]
                    try:
                        ctype = f2cmap[str(var['kindselector']['kind'])]
                    except KeyError:
                        errmess('getctype: ""%s(kind=%s)"" is mapped to C ""%s"" (to override define dict(%s = dict(%s=""<C typespec>"")) in %s/.f2py_f2cmap file).\n'
                                % (typespec, var['kindselector']['kind'], ctype,
                                   typespec, var['kindselector']['kind'], os.getcwd()))
    elif not isexternal(var):
        errmess(f'getctype: No C-type found in ""{var}"", assuming void.\n')
    return ctype","18","1","48","1","0.0","9","5","Bad"
"_get_groups","groupby.py","def _get_groups(
    self, data: DataFrame
) -> tuple[str | list[str], Index | MultiIndex]:
    """"""Return index with Cartesian product of ordered grouping variable levels.""""""
    levels = {}
    for var, order in self.order.items():
        if var in data:
            if order is None:
                order = categorical_order(data[var])
            levels[var] = order

    grouper: str | list[str]
    groups: Index | MultiIndex
    if not levels:
        grouper = []
        groups = pd.Index([])
    elif len(levels) > 1:
        grouper = list(levels)
        groups = pd.MultiIndex.from_product(levels.values(), names=grouper)
    else:
        grouper, = list(levels)
        groups = pd.Index(levels[grouper], name=grouper)
    return grouper, groups","6","2","23","1","0.0","3","1","Okay"
"parse_filter","parser.py","def parse_filter(
    self, node: t.Optional[nodes.Expr], start_inline: bool = False
) -> t.Optional[nodes.Expr]:
    while self.stream.current.type == ""pipe"" or start_inline:
        if not start_inline:
            next(self.stream)
        token = self.stream.expect(""name"")
        name = token.value
        while self.stream.current.type == ""dot"":
            next(self.stream)
            name += ""."" + self.stream.expect(""name"").value
        if self.stream.current.type == ""lparen"":
            args, kwargs, dyn_args, dyn_kwargs = self.parse_call_args()
        else:
            args = []
            kwargs = []
            dyn_args = dyn_kwargs = None
        node = nodes.Filter(
            node, name, args, kwargs, dyn_args, dyn_kwargs, lineno=token.lineno
        )
        start_inline = False
    return node","6","3","22","0","0.0","2","1","Okay"
"get_not_required","list.py","def get_not_required(
    self, packages: ""_ProcessedDists"", options: Values
) -> ""_ProcessedDists"":
    dep_keys = {
        canonicalize_name(dep.name)
        for dist in packages
        for dep in (dist.iter_dependencies() or ())
    }

    # Create a set to remove duplicate packages, and cast it to a list
    # to keep the return type consistent with get_outdated and
    # get_uptodate
    return list({pkg for pkg in packages if pkg.canonical_name not in dep_keys})","6","3","13","0","0.231","0","1","Good"
